w4mpro,w4sigmpro,w4snr,w4rchi2,w4mag_1,w4mag_2,w4mag_3,w4mag_4,w4mag_5,w4mag_6,w4mag_7,w4mag_8,w4mag_1_w4mag_2,w4mag_2_w4mag_3,w4mag_3_w4mag_4,w4mag_4_w4mag_5,w4mag_5_w4mag_6,w4mag_6_w4mag_7,w4mag_7_w4mag_8,class
5.845,0.06,18.1,0.8578,6.75,6.207,5.863,5.637,5.459,5.288,5.122,4.959,0.5430000000000001,0.3439999999999994,0.22600000000000087,0.17799999999999994,0.17099999999999937,0.16600000000000037,0.16300000000000026,real
2.132,0.018,59.6,1.557,3.275,2.77,2.48,2.327,2.265,2.24,2.235,2.236,0.5049999999999999,0.29000000000000004,0.15300000000000002,0.06199999999999983,0.02499999999999991,0.0050000000000003375,0.001000000000000334,real
3.367,0.032,33.9,0.8809,4.408,3.889,3.531,3.251,3.003,2.812,2.707,2.658,0.5190000000000006,0.35799999999999965,0.28000000000000025,0.24799999999999978,0.19100000000000028,0.10499999999999998,0.04899999999999993,real
5.07,0.056,19.4,0.7834,5.795,5.279,4.986,4.826,4.753,4.732,4.745,4.781,0.516,0.29300000000000015,0.16000000000000014,0.07299999999999951,0.020999999999999908,0.0129999999999999,0.03599999999999959,real
6.503,0.066,16.5,1.056,7.522,7.02,6.729,6.567,6.457,6.356,6.264,6.191,0.5020000000000007,0.2909999999999995,0.16199999999999992,0.11000000000000032,0.10099999999999998,0.09199999999999964,0.0730000000000004,real
4.054,0.043,25.2,1.1,4.235,3.811,3.527,3.327,3.17,3.017,2.86,2.697,0.4240000000000004,0.2839999999999998,0.20000000000000018,0.15700000000000003,0.15300000000000002,0.15700000000000003,0.1629999999999998,real
6.658,0.074,14.6,0.7624,7.757,7.278,6.965,6.78,6.695,6.648,6.61,6.563,0.4790000000000001,0.3129999999999997,0.1849999999999996,0.08499999999999996,0.0470000000000006,0.03799999999999937,0.0470000000000006,real
4.664,0.032,34.4,0.9044,5.727,5.247,4.965,4.801,4.668,4.457,4.128,3.725,0.4800000000000004,0.28200000000000003,0.1639999999999997,0.133,0.2110000000000003,0.32899999999999974,0.403,real
4.007,0.029,37.0,9.941,5.024,4.441,4.066,3.842,3.707,3.585,3.428,3.177,0.5830000000000002,0.375,0.22399999999999975,0.13500000000000023,0.12199999999999989,0.15700000000000003,0.2509999999999999,real
2.045,0.015,71.9,28.55,3.049,2.437,1.987,1.661,1.422,1.216,1.028,0.878,0.6120000000000001,0.44999999999999973,0.32600000000000007,0.2390000000000001,0.20599999999999996,0.18799999999999994,0.15000000000000002,real
6.384,0.063,17.2,0.9396,7.428,6.996,6.77,6.697,6.736,6.825,6.882,6.85,0.4319999999999995,0.22600000000000087,0.07299999999999951,0.0389999999999997,0.08900000000000041,0.056999999999999496,0.03200000000000003,real
3.415,0.024,46.0,11.3,4.493,3.981,3.676,3.496,3.377,3.245,3.068,2.837,0.5120000000000005,0.3049999999999997,0.18000000000000016,0.11900000000000022,0.13199999999999967,0.17700000000000005,0.23099999999999987,real
3.638,0.022,50.1,0.9886,4.64,4.119,3.804,3.623,3.519,3.448,3.389,3.332,0.5209999999999999,0.31499999999999995,0.1809999999999996,0.10400000000000009,0.07100000000000017,0.05900000000000016,0.05699999999999994,real
6.257,0.048,22.8,1.098,7.37,6.874,6.566,6.417,6.382,6.409,6.489,6.615,0.49600000000000044,0.30799999999999983,0.14900000000000002,0.03500000000000014,0.027000000000000135,0.08000000000000007,0.12600000000000033,real
4.243,0.029,37.7,0.7381,5.319,4.834,4.552,4.409,4.352,4.328,4.32,4.319,0.4850000000000003,0.28200000000000003,0.1429999999999998,0.056999999999999496,0.02400000000000002,0.008000000000000007,0.001000000000000334,real
7.552,0.161,6.7,0.9684,8.728,8.46,8.417,7.808,7.876,7.96,7.891,7.707,0.2679999999999989,0.04300000000000104,0.609,0.0680000000000005,0.08399999999999963,0.06899999999999995,0.18400000000000016,real
3.716,0.023,46.4,0.7887,4.758,4.268,3.979,3.829,3.763,3.731,3.715,3.706,0.4900000000000002,0.2889999999999997,0.1499999999999999,0.06600000000000028,0.03200000000000003,0.016000000000000014,0.008999999999999897,real
3.392,0.024,45.5,0.7876,4.427,3.939,3.656,3.513,3.454,3.43,3.424,3.423,0.48799999999999955,0.2829999999999999,0.14300000000000024,0.05899999999999972,0.02400000000000002,0.006000000000000227,9.999999999998899E-4,real
6.403,0.063,17.2,1.079,7.451,7.01,6.768,6.647,6.576,6.498,6.422,6.373,0.44099999999999984,0.242,0.12099999999999955,0.07100000000000062,0.0779999999999994,0.07600000000000051,0.04899999999999949,real
8.002,0.241,4.5,1.017,8.944,8.359,7.974,7.754,7.649,7.569,6.751,6.628,0.5850000000000009,0.3849999999999998,0.22000000000000064,0.10499999999999954,0.08000000000000007,0.8179999999999996,0.12300000000000022,real
8.121,0.259,4.2,0.9575,9.23,8.659,8.189,7.827,7.584,7.432,7.354,7.327,0.5709999999999997,0.47000000000000064,0.3620000000000001,0.24300000000000033,0.15199999999999925,0.07800000000000029,0.027000000000000135,real
6.798,0.092,11.8,0.9389,7.873,7.414,7.154,7.028,6.977,6.948,6.908,6.854,0.4590000000000005,0.2599999999999998,0.12600000000000033,0.05099999999999927,0.028999999999999915,0.040000000000000036,0.05400000000000027,real
7.053,0.101,10.7,0.925,8.025,7.49,7.159,6.947,6.823,6.752,6.695,6.645,0.5350000000000001,0.3310000000000004,0.21199999999999974,0.12399999999999967,0.07100000000000062,0.056999999999999496,0.05000000000000071,real
7.532,0.132,8.3,0.9731,8.628,8.125,7.79,7.601,7.555,6.817,6.725,6.609,0.5030000000000001,0.33499999999999996,0.18900000000000006,0.04600000000000026,0.7379999999999995,0.09200000000000053,0.11599999999999966,real
4.792,0.037,29.1,0.7925,5.852,5.372,5.096,4.949,4.878,4.834,4.805,4.784,0.4800000000000004,0.2759999999999998,0.14700000000000024,0.07099999999999973,0.04400000000000048,0.028999999999999915,0.020999999999999908,real
7.137,0.119,9.1,0.9373,8.191,7.665,7.342,7.141,6.974,6.837,6.751,6.706,0.5260000000000007,0.3230000000000004,0.20099999999999962,0.16699999999999982,0.13700000000000045,0.08599999999999941,0.04499999999999993,real
3.69,0.072,15.1,2.579,5.434,5.673,5.537,5.689,7.302,4.583,4.44,3.765,0.23899999999999988,0.13600000000000012,0.15200000000000014,1.6129999999999995,2.7189999999999994,0.1429999999999998,0.6750000000000003,real
7.526,0.151,7.2,0.8915,8.461,8.013,7.81,7.733,7.752,6.981,6.862,6.72,0.4480000000000004,0.2030000000000003,0.07699999999999996,0.019000000000000128,0.7709999999999999,0.11899999999999977,0.14200000000000035,real
5.632,0.044,24.5,1.025,6.679,6.216,5.952,5.835,5.817,5.839,5.87,5.874,0.4630000000000001,0.26400000000000023,0.11699999999999999,0.017999999999999794,0.02200000000000024,0.030999999999999694,0.0039999999999995595,real
6.757,0.172,6.3,0.8389,7.051,6.53,6.247,6.115,6.086,6.115,6.154,6.177,0.5209999999999999,0.28300000000000036,0.13199999999999967,0.028999999999999915,0.028999999999999915,0.0389999999999997,0.022999999999999687,real
6.633,0.088,12.3,0.8664,7.671,7.238,6.982,6.852,6.805,6.769,6.741,6.69,0.43299999999999983,0.2560000000000002,0.1299999999999999,0.0470000000000006,0.03599999999999959,0.02800000000000047,0.05099999999999927,real
6.078,0.053,20.7,0.7367,7.115,6.622,6.304,6.136,6.081,6.07,6.083,6.102,0.4930000000000003,0.3179999999999996,0.16800000000000015,0.054999999999999716,0.01100000000000012,0.0129999999999999,0.019000000000000128,real
